iter	RMSE
0	7.700188651
1	7.597254747
2	7.463039946
3	7.333605141
4	7.19773212555	7.05117787466	6.916804977	7	6.794471588	8	6.683554249	9	6.581271221010	6.466576873
11	6.354352527
12	6.246625242
13	6.148757873
14	6.052220496
15	5.944379336
16	5.856806602
17	5.754817926
18	5.66097719	519	5.57578820	520	5.49309421	21	5.416745797
22	5.34320223	523	5.25857624	524	5.192267423
25	5.114979671
26	5.057342066
27	4.992303847
28	4.922852223
29	4.857949686
30	4.797954993
31	4.737687535
32	4.677010717
33	4.611928967
34	4.562095828
35	4.504472085
36	4.446304157
37	4.396937047
38	4.351459575
39	4.305524794
40	4.250842112
41	4.204680193
42	4.153389631
43	4.110080823
44	4.066831963
45	4.022547991
46	3.976908487
47	3.946420801
48	3.911232989
49	3.866879611
50	3.829776911
51	3.795101652
52	3.756315455
53	3.718670295
54	3.684996214
55	3.647492901
56	3.613920685
57	3.582358851
58	3.551636417
59	3.526103934
60	3.493203747
61	3.467060289
62	3.440667922
63	3.409738142
64	3.383774633
65	3.353922091
66	3.328451907
67	3.299592163
68	3.274053459
69	3.248665814
70	3.226121433
71	3.204663485
72	3.181643308
73	3.159627722
74	3.138180197
75	3.115352356
76	3.092245237
77	3.075171704
78	3.059944734
79	3.041008823
80	3.019540823
81	2.996139206
82	2.977264197
83	2.957324707
84	2.938799209
85	2.923782808
86	2.909937659
87	2.892045897
88	2.873403591
89	2.85739341
90	2.842971539
91	2.826194035
92	2.810724388
93	2.793896627
94	2.782347131
95	2.768736286
96	2.753285481
97	2.738881653
98	2.7325346
99	2.713787933
100	2.698345104
101	2.681389816
102	2.664296137
103	2.65153367
104	2.635913212
105	2.625962846
106	2.610263364
107	2.604417216
108	2.596147334
109	2.583018843
110	2.571781848
111	2.5646245
112	2.554824817
113	2.541161274
114	2.528311385
115	2.516659777
116	2.502829124
117	2.489191199
118	2.474449575
119	2.464736842
120	2.457295012
121	2.445873029
122	2.437837552
123	2.422303875
124	2.414773722
125	2.407225654
126	2.395187927
127	2.386156296
128	2.372932597
129	2.363903317
130	2.3506452
131	2.34195544
132	2.333535976
133	2.325289737
134	2.313500163
135	2.301370946
136	2.295676027
137	2.287727428
138	2.280306668
139	2.273381693
140	2.266502136
141	2.25948533
142	2.252146204
143	2.247087883
144	2.239820725
145	2.236557189
146	2.228143978
147	2.218240968
148	2.211785023
149	2.20683446
150	2.199036807
151	2.192409191
152	2.187577248
153	2.177556711
154	2.166337678
155	2.158972342
156	2.149771897
157	2.142306117
158	2.133646873
159	2.124435346
160	2.11680254
161	2.111057149
162	2.104755865
163	2.096629074
164	2.0868022
165	2.07754154
166	2.07078162
167	2.064363728
168	2.053428343
169	2.046833671
170	2.041609238
171	2.034422432
172	2.025394017
173	2.01699474
174	2.008656112
175	1.999449379
176	1.987080867
177	1.98040797
178	1.973914164
179	1.963409494
180	1.951776594
181	1.94467519
182	1.937644835
183	1.933386797
184	1.927294525
185	1.917991812
186	1.910395511
187	1.901884646
188	1.896758108
189	1.89257422
190	1.881750268
191	1.876227
192	1.869178844
193	1.862302685
194	1.85442876
195	1.846839885
196	1.841561101
197	1.838987178
198	1.830414926
199	1.823932317
200	1.816260967
201	1.811357352
202	1.808954366
203	1.800497749
204	1.791160442
205	1.787204875
206	1.780186479
207	1.778389783
208	1.772104914
209	1.764040917
210	1.757367775
211	1.752716851
212	1.748624835
213	1.74064416
214	1.736813766
215	1.728017291
216	1.720350743
217	1.711828083
218	1.702819883
219	1.692318869
220	1.684751367
221	1.67881391
222	1.668712413
223	1.662446033
224	1.6578827
225	1.648486323
226	1.641551873
227	1.636165421
228	1.629388533
229	1.624905871
230	1.615949085
231	1.608461747
232	1.604420831
233	1.595422345
234	1.590359502
235	1.584238519
236	1.579790682
237	1.571425572
238	1.563692168
239	1.558049667
240	1.550414746
241	1.543355381
242	1.536562199
243	1.531664541
244	1.525559694
245	1.519116192
246	1.51374471
247	1.507468776
248	1.503392285
249	1.498090643
250	1.491333971
251	1.486559192
252	1.479178867
253	1.47175044
254	1.466822541
255	1.460460915
256	1.454057902
257	1.450329934
258	1.4456442
259	1.437279324
260	1.43118472
261	1.42578333
262	1.418621901
263	1.410440164
264	1.405476807
265	1.401773847
266	1.396122879
267	1.388983097
268	1.381211939
269	1.372719265
270	1.366222914
271	1.360422293
272	1.354641647
273	1.348503992
274	1.343457734
275	1.339822518
276	1.334353003
277	1.32701928
278	1.324346585
279	1.31666934
280	1.314595629
281	1.306340378
282	1.302316933
283	1.296487869
284	1.292580578
285	1.286057054
286	1.279169827
287	1.273560241
288	1.265581543
289	1.260757147
290	1.256841756
291	1.252052477
292	1.246554538
293	1.240627734
294	1.236744993
295	1.233226062
296	1.227281729
297	1.224003383
298	1.220888843
299	1.217794549
300	1.214381691
301	1.207918646
302	1.198620413
303	1.194793951
304	1.189403025
305	1.18468794
306	1.177602121
307	1.174853826
308	1.169534943
309	1.165601096
310	1.160694525
311	1.156739844
312	1.151484772
313	1.148018635
314	1.143872961
315	1.138988938
316	1.135778597
317	1.132547574
318	1.126309573
319	1.120864499
320	1.115376972
321	1.110967517
322	1.103991818
323	1.098023727
324	1.092155467
325	1.090105187
326	1.085106235
327	1.08339141
328	1.080670566
329	1.07858184
330	1.07643977
331	1.071595723
332	1.067213523
333	1.063136271
334	1.060268267
335	1.056548825
336	1.053528298
337	1.051048298
338	1.045547603
339	1.04207864
340	1.038325073
341	1.033195141
342	1.031930016
343	1.027011614
344	1.026269174
345	1.019673102
346	1.017312401
347	1.012182511
348	1.008266761
349	1.005660637
350	1.002513508
351	0.9968327015
352	0.9962604662
353	0.9951542786
354	0.9903092934
355	0.9857397187
356	0.9815294104
357	0.9809537882
358	0.9793496176
359	0.976099332
360	0.9740552438
361	0.9711029497
362	0.9681205268
363	0.9674985538
364	0.9612735327
365	0.9572176926
366	0.9525104662
367	0.9516579795
368	0.9476376923
369	0.9436976906
370	0.9395436662
371	0.9390398108
372	0.9359455479
373	0.9332186297
374	0.9284016517
375	0.9254923649
376	0.9249841452
377	0.9208036162
378	0.9180328078
379	0.9146131631
380	0.9140098729
381	0.9086604746
382	0.9055920471
383	0.9024327898
384	0.8982306658
385	0.8941190411
386	0.8897414406
387	0.8892539059
388	0.8844535792
389	0.8839798144
390	0.8802986189
391	0.8794396194
392	0.8787544622
393	0.8761896937
394	0.8728097951
395	0.8712291853
396	0.8706615625
397	0.8659085922
398	0.864277098
399	0.8600849445
400	0.8588224343
401	0.8549172245
402	0.8521926884
403	0.8492128946
404	0.8462179445
405	0.8427688183
406	0.8410681881
407	0.837401644
408	0.8321915248
409	0.828288021
410	0.8247769365
411	0.8240892434
412	0.8236827079
413	0.8212042964
414	0.8179785904
415	0.8136107971
416	0.8108046237
417	0.8104368113
418	0.8074787884
419	0.8049257199
420	0.8036080207
421	0.8017444429
422	0.7983457695
423	0.7950725244
424	0.7912233154
425	0.7876398224
426	0.7859964864
427	0.782544814
428	0.7789508871
429	0.777258719
430	0.7735602625
431	0.7729719755
432	0.7725610654
433	0.7719753254
434	0.7700975459
435	0.7698066341
436	0.7664482566
437	0.7621391503
438	0.7603129831
439	0.7577506929
440	0.7541855443
441	0.7525756021
442	0.7507415432
443	0.7485205709
444	0.7479612351
445	0.744034616
446	0.7397328405
447	0.7363254773
448	0.7325017947
449	0.7321507397
450	0.7319643539
451	0.7317035407
452	0.7313282125
453	0.7291043862
454	0.7287694609
455	0.72511796
456	0.7217878123
457	0.7179192549
458	0.7164738434
459	0.7137190176
460	0.712268969
461	0.7079227336
462	0.7074144798
463	0.7051141498
464	0.7047240739
465	0.704388523
466	0.7025039263
467	0.6990951552
468	0.6961441373
469	0.6929940792
470	0.6925958341
471	0.6886224724
472	0.6851865714
473	0.6832779851
474	0.6797292764
475	0.6771075614
476	0.6747151208
477	0.6712765575
478	0.6680285637
479	0.6664318134
480	0.6633187764
481	0.6597926684
482	0.6580010313
483	0.6560526775
484	0.6536351273
485	0.651182875
486	0.6477865154
487	0.6473419247
488	0.6463832239
489	0.643273034
490	0.6407743648
491	0.638990664
492	0.6356259246
493	0.6337582967
494	0.6320628141
495	0.6297746895
496	0.6260689517
497	0.6238448816
498	0.6207785791
499	0.6185795757
500	0.6152784801
501	0.6120766053
502	0.6101284563
503	0.6076156961
504	0.604796696
505	0.6027841852
506	0.6001357565
507	0.5970654836
508	0.5949408507
509	0.5931636721
510	0.5921000193
511	0.589402708
512	0.5861875449
513	0.5849998288
514	0.5822397636
515	0.580690917
516	0.5789237376
517	0.5770259891
518	0.5756000151
519	0.573193106
520	0.5722908102
521	0.5707543478
522	0.5686464772
523	0.5677039615
524	0.564828365
525	0.5631015258
526	0.5611499231
527	0.5607506881
528	0.559684271
529	0.5577871188
530	0.5545250369
531	0.5541455362
532	0.5521491873
533	0.5502430077
534	0.5474550692
535	0.5449593768
536	0.5435466365
537	0.5411454331
538	0.5396591271
539	0.5386815414
540	0.5364032953
541	0.5337015351
542	0.5321645368
543	0.5312242549
544	0.5285539488
545	0.5269551922
546	0.5247056619
547	0.5224572311
548	0.5197097771
549	0.5171636924
550	0.5156843719
551	0.5141086972
552	0.5126645435
553	0.5115848827
554	0.5106490142
555	0.5087994576
556	0.5071062408
557	0.5053977167
558	0.5033576693
559	0.5026418676
560	0.5003243655
561	0.4991073856
562	0.4975214508
563	0.4957931619
564	0.4945611997
565	0.4924509802
566	0.4908907819
567	0.4900061869
568	0.4876803821
569	0.4860626112
570	0.4847067433
571	0.483887108
572	0.4825761355
573	0.4803783177
574	0.4790708782
575	0.4775349364
576	0.4763339619
577	0.4751582933
578	0.4736098386
579	0.4710729572
580	0.4699513701
581	0.467952287
582	0.4659803062
583	0.4645966414
584	0.4638027023
585	0.4620601061
586	0.4614589201
587	0.459632599
588	0.4575605854
589	0.4560937887
590	0.455620191
591	0.4553259365
592	0.4551192891
593	0.4534581236
594	0.4523189478
595	0.4510036974
596	0.4493515773
597	0.4479367588
598	0.4466598348
599	0.4454882844
600	0.4445028196
601	0.4436342161
602	0.4433890193
603	0.4419458049
604	0.4414511781
605	0.4400711356
606	0.4377908069
607	0.4360411927
608	0.4342747101
609	0.4316324385
610	0.430058404
611	0.429414709
612	0.4278720908
613	0.4271334287
614	0.4253687129
615	0.423481087
616	0.4227951294
617	0.4213203814
618	0.42010668
619	0.4185910466
620	0.417658643
621	0.4162169625
622	0.4149920236
623	0.4148090862
624	0.4135573158
625	0.4133926099
626	0.4119941039
627	0.4107829287
628	0.409961323
629	0.4088889133
630	0.4067634654
631	0.4048832432
632	0.4047142329
633	0.4045010569
634	0.4035265801
635	0.4024859073
636	0.4011336017
637	0.4002202187
638	0.3990361153
639	0.3988433995
640	0.398300816
641	0.3967097235
642	0.3953738747
643	0.3936068142
644	0.3917341605
645	0.3909993701
646	0.3895741916
647	0.3886844738
648	0.3872615222
649	0.3859193063
650	0.3844146199
651	0.3834202238
652	0.3821423244
653	0.3813358731
654	0.3802151876
655	0.3790201882
656	0.3779622307
657	0.376117461
658	0.3749662263
659	0.3739910889
660	0.3725549011
661	0.3715679339
662	0.3698512376
663	0.3680437051
664	0.3668174417
665	0.3652473556
666	0.3650848677
667	0.3640306112
668	0.3624884938
669	0.3615284041
670	0.3608416189
671	0.3599570529
672	0.3592245668
673	0.358718712
674	0.3582024389
675	0.357099887
676	0.3558373875
677	0.3546179285
678	0.3533381455
679	0.3527674933
680	0.3517957597
681	0.3508172319
682	0.3498463909
683	0.3485981686
684	0.348453459
685	0.3473203371
686	0.3465492499
687	0.3461931119
688	0.3455767303
689	0.3445822838
690	0.3436821403
691	0.3427715792
692	0.3415596905
693	0.3405298584
694	0.3396538715
695	0.3395129408
696	0.3384458896
697	0.3375762035
698	0.3369156485
699	0.3361783267
700	0.334570427
701	0.3336294157
702	0.3322193166
703	0.3314820928
704	0.3301080251
705	0.3293390492
706	0.3282495629
707	0.326529035
708	0.3259399975
709	0.3251337904
710	0.3239323025
711	0.3230227844
712	0.3223584145
713	0.3210172122
714	0.3205759242
715	0.3197664891
716	0.3187040642
717	0.3178612205
718	0.3170809336
719	0.3156302852
720	0.3149088653
721	0.3141037791
722	0.3139370913
723	0.3133037219
724	0.3124867603
725	0.3114849893
726	0.3113580387
727	0.3101189896
728	0.3090196695
729	0.3089014987
730	0.3074948344
731	0.3067900038
732	0.3061464211
733	0.3057473218
734	0.3050061661
735	0.3040938654
736	0.3035291446
737	0.3027878514
738	0.3023906957
739	0.3015133889
740	0.300460453
741	0.2995272496
742	0.2984351351
743	0.2973173974
744	0.2970769974
745	0.2967649658
746	0.2963672106
747	0.2953073855
748	0.2946534335
749	0.2935177213
750	0.292273238
751	0.2912638175
752	0.290061236
753	0.2895534907
754	0.2887267209
755	0.2879505413
756	0.2875981327
757	0.2867345552
758	0.2864653153
759	0.2856094614
760	0.2845710817
761	0.2844384701
762	0.2832632128
763	0.2825437653
764	0.2821549348
765	0.2816716053
766	0.2806488206
767	0.2799773032
768	0.2792789435
769	0.2791642038
770	0.2786874915
771	0.2785770236
772	0.2781663896
773	0.2780608314
774	0.2776616279
775	0.2770606946
776	0.276942919
777	0.2760074858
778	0.2751542302
779	0.274593725
780	0.2741417959
781	0.2737636368
782	0.2729568353
783	0.2717535811
784	0.2710437573
785	0.2702883311
786	0.2698797689
787	0.2695130211
788	0.2687029045
789	0.2677298127
790	0.2671907958
791	0.2663678955
792	0.2658177763
793	0.2653419522
794	0.2648289959
795	0.2647753994
796	0.2640928346
797	0.2634982661
798	0.2628938501
799	0.2622460546
800	0.2621372976
801	0.2618010199
802	0.261695555
803	0.261240956
804	0.2607602779
805	0.2606809321
806	0.2603361147
807	0.2595846984
808	0.2588373724
809	0.2581870004
810	0.2574717308
811	0.2570581332
812	0.2566591447
813	0.2566051504
814	0.2557340759
815	0.2554624462
816	0.2553710518
817	0.2545337954
818	0.2542388058
819	0.2534923299
820	0.2526295155
821	0.2518593345
822	0.2512874468
823	0.2505948385
824	0.2503013523
825	0.2498462374
826	0.2493301911
827	0.2488559968
828	0.2483596595
829	0.2479614035
830	0.2474749119
831	0.2470502885
832	0.2465358014
833	0.2458330987
834	0.2453554248
835	0.2447837311
836	0.2446886324
837	0.2441728946
838	0.2438098298
839	0.2432583029
840	0.242543258
841	0.2417428745
842	0.2413080568
843	0.2407128299
844	0.2406564128
845	0.240159413
846	0.2399414755
847	0.2391455245
848	0.2387889484
849	0.2386926777
850	0.2385765107
851	0.2379133145
852	0.2375716063
853	0.2374387577
854	0.2373774331
855	0.2366340283
856	0.2365596741
857	0.2360967925
858	0.2358125286
859	0.2356010447
860	0.2355477444
861	0.2351227995
862	0.2345609434
863	0.2340825891
864	0.2337396148
865	0.2329842989
866	0.2321322308
867	0.2315511238
868	0.2311275809
869	0.2308243548
870	0.2299877925
871	0.2296779727
872	0.2293286638
873	0.2289747498
874	0.2285993753
875	0.2277724516
876	0.2274195482
877	0.2271391281
878	0.2268144987
879	0.2263543039
880	0.226080004
881	0.2255784318
882	0.2249453414
883	0.2246615249
884	0.2242932547
885	0.2236149214
886	0.2234259089
887	0.2228038581
888	0.2221958926
889	0.2218451557
890	0.221390633
891	0.2213246704
892	0.2208695911
893	0.2206099896
894	0.2202360035
895	0.2198468711
896	0.2194829007
897	0.2191855664
898	0.2186641083
899	0.2182351468
900	0.2178350565
901	0.2174994449
902	0.2172177299
903	0.2167787936
904	0.2165443374
905	0.2164855608
906	0.2161310593
907	0.2156340974
908	0.2150110159
909	0.2145679398
910	0.2138426181
911	0.2133818934
912	0.2129381564
913	0.2126151278
914	0.2121147039
915	0.2114820163
916	0.2110324066
917	0.2107994107
918	0.2102711599
919	0.2100739714
920	0.2097470929
921	0.2094527436
922	0.2091923269
923	0.2091339889
924	0.2086728698
925	0.2083631527
926	0.2078315125
927	0.2072820611
928	0.2069752221
929	0.2067328283
930	0.2062437286
931	0.2059998487
932	0.205856029
933	0.2055751777
934	0.2052440802
935	0.2046775313
936	0.2044341703
937	0.2041321436
938	0.2038141482
939	0.2037740056
940	0.203477354
941	0.2032754038
942	0.2031160059
943	0.20281346945944	0.20246354946945	0.20213097947946	0.20207088948947	0.20194735949948	0.20152068950949	0.2012630395950	0.20101974395951	0.20095982095952	0.2006645954	953	0.2003564955	954	0.2002276956	955	0.2000333957	956	0.1996684958	957	0.1992317959	958	0.1989192960	959	0.1988718961	960	0.1987392962	961	0.1986925963	962	0.1985001964	963	0.1982379965	964	0.1978616966	965	0.1975195967	966	0.1971348968	967	0.1967780969	968	0.1966192970	969	0.1965566971	970	0.196501972	0971	0.196120973	0972	0.196019974	0973	0.195705975974	0.1954304497975	0.19492991397976	0.19460707997977	0.19442584897978	0.19432023298979	0.19403379398980	0.19389193698981	0.19375315798982	0.19370040984983	0.19334626985984	0.1933073098985	0.19316480198986	0.19299753598987	0.19295325998988	0.19290552599989	0.19265800999990	0.19259437199991	0.19237158299992	0.19234410899993	0.19187149099994	0.19169798699995	0.19154493099996	0.19144644399997	0.19129528199998	0.1910271352
999	0.1908651471
9	0.1849548831
